id,player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,framing,arm,zr
82476,24527,2044,18,100,1,0,3,10,1,9,0,12,9,0,0,2,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0193
82480,24527,2044,18,100,1,0,4,149,76,70,0,326,43,38,3,16,0,0,0,0,2,94,85,3,91,86,14,9,19,9,13,2,21,5,6,0,0.0,0.0,1.6008
82485,24527,2044,18,100,1,0,5,7,6,1,0,34,13,2,0,0,0,0,0,0,1,7,7,0,5,5,0,0,0,0,2,1,1,1,0,0,0.0,0.0,0.3683
82497,24527,2044,18,100,1,0,6,182,116,63,0,458,60,52,3,25,0,0,0,0,1,114,123,3,114,101,16,8,22,10,23,6,29,6,7,0,0.0,0.0,-5.432
89654,24662,2044,28,100,1,0,3,1109,61,1032,0,1177,142,142,16,121,0,0,0,0,1,185,181,13,211,198,29,25,13,8,5,0,6,0,3,0,0.0,0.0,-2.4023
89656,24662,2044,28,100,1,0,7,5,0,5,0,19,10,1,0,0,0,0,0,0,0,5,5,0,4,4,1,1,1,0,2,0,1,0,0,0,0.0,-0.0244,-0.2578
89658,24662,2044,28,100,1,0,9,1,0,1,0,8,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0.0,-0.2755,-0.0443
92843,24714,2044,35,100,1,0,1,7,5,2,0,35,45,1,0,0,0,0,3,1,2,3,3,0,3,3,1,0,0,0,0,0,0,0,0,0,-0.54,0.0,0.148
93378,24719,2044,17,100,1,0,3,2,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
93397,24719,2044,13,100,1,0,3,119,7,112,0,127,15,15,0,15,0,0,0,0,1,17,17,0,18,18,2,2,2,0,0,0,2,0,0,0,0.0,0.0,0.0849
93402,24719,2044,17,100,1,0,4,9,4,5,0,26,4,3,0,1,0,0,0,0,0,5,5,0,5,5,0,0,1,1,2,1,3,0,0,0,0.0,0.0,0.233
93408,24719,2044,17,100,1,0,5,9,8,0,0,35,9,3,1,1,0,0,0,0,1,8,8,0,5,5,2,1,1,1,2,1,0,0,1,0,0.0,0.0,0.023
93411,24719,2044,13,100,1,0,5,25,19,5,0,107,13,12,1,1,0,0,0,0,0,20,19,1,13,13,10,7,2,2,1,1,0,0,1,0,0.0,0.0,0.1603
94425,24732,2044,23,100,1,0,9,213,11,199,0,1054,116,116,3,0,0,0,0,0,2,194,184,0,155,153,32,29,16,12,25,2,44,3,64,0,0.0,3.9291,3.1117
96625,24774,2044,27,100,1,0,1,2,1,1,0,23,22,0,0,0,0,0,3,1,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,-0.405,0.0,0.2295
98096,24796,2044,19,100,1,0,3,208,15,191,0,238,50,24,2,24,0,0,0,0,1,38,38,2,41,39,3,3,3,3,1,1,1,0,1,0,0.0,0.0,0.336
98104,24796,2044,19,100,1,0,4,12,5,6,0,18,2,2,1,1,0,0,0,0,0,6,6,1,8,5,0,0,3,1,0,0,1,0,0,0,0.0,0.0,-1.0599
98753,24811,2044,11,100,1,0,3,13,0,13,0,9,5,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0386
98755,24811,2044,11,100,1,0,7,86,1,84,0,465,61,52,1,0,0,0,0,0,1,81,90,0,72,67,13,8,12,5,10,2,21,2,25,0,0.0,0.0455,-2.5588
98757,24811,2044,11,100,1,0,8,6,0,5,0,16,2,2,1,0,0,0,0,0,0,6,8,1,3,2,4,2,1,1,1,0,2,0,4,0,0.0,-0.1955,-2.2064
98858,24813,2044,20,100,1,0,1,5,3,2,0,52,44,0,0,0,0,0,5,1,1,3,3,0,2,2,2,1,0,0,0,0,0,0,0,0,-0.405,0.0,-0.0044
106971,24960,2044,28,100,1,0,1,0,0,0,0,24,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27,0.0,-0.0079
109107,25003,2044,1632,100,1,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
109110,25003,2044,1632,100,1,0,4,9,4,4,0,27,3,3,1,0,0,0,0,0,0,5,6,1,6,4,1,0,4,1,3,0,1,0,0,0,0.0,0.0,-1.5865
109117,25003,2044,1632,100,1,0,5,247,162,77,0,839,96,96,8,10,0,0,0,0,0,196,189,8,169,160,45,42,19,11,18,7,21,7,4,0,0.0,0.0,1.3318
109120,25003,2044,1632,100,1,0,6,4,4,0,0,9,1,1,0,1,0,0,0,0,0,4,4,0,4,3,1,0,1,1,0,0,0,0,0,0,0.0,0.0,-0.2181
110095,25018,2044,19,100,1,0,1,7,2,3,0,62,26,8,2,0,0,0,8,0,2,4,4,1,3,2,1,1,0,0,0,0,0,0,0,0,-0.0,0.0,-1.1737
112441,25069,2044,29,100,1,0,3,899,41,851,0,973,120,112,7,70,0,0,0,0,2,149,154,7,173,158,23,20,19,12,9,2,13,0,2,0,0.0,0.0,-4.2704
112444,25069,2044,29,100,1,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
112592,25070,2044,27,100,1,0,3,45,3,42,0,42,14,2,0,1,0,0,0,0,0,11,10,0,11,11,1,1,0,0,3,1,1,0,0,0,0.0,0.0,0.5887
112594,25070,2044,27,100,1,0,5,5,3,2,0,15,4,1,0,0,0,0,0,0,0,4,4,0,3,3,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.1489
112596,25070,2044,27,100,1,0,6,595,345,235,0,1222,144,143,15,57,0,0,0,0,2,384,403,15,423,383,44,21,62,29,59,8,84,8,30,0,0.0,0.0,-18.5011
