id,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
341656,40077,2044,25,0,100,1,1,111,437,0,121,95,493,60,51,67,61,110,110,1843,0,21,21,7,6,0,83,19,2,2,1,18,0,0,5,4,1,0,9,6,0,0,0,0,0,6,3,0,0.0,0.0,-1.4096,481.1001,0,333,0,0,0.1445,-0.3195
341658,40077,2044,25,0,100,1,2,51,197,0,48,38,217,36,19,25,25,54,56,0,0,21,21,0,0,0,32,9,0,1,1,6,0,0,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,209.7001,0,153,0,0,0.0,0.0
341660,40077,2044,25,0,100,1,3,60,240,0,73,57,276,24,32,42,36,56,54,0,0,21,21,0,0,0,51,10,2,1,0,12,0,0,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,271.4,0,180,0,0,0.0,0.0
341701,40078,2044,25,0,100,1,1,25,90,0,22,21,99,0,9,7,7,24,23,371,0,24,0,0,1,2,17,1,0,0,0,4,0,0,1,1,0,7,5,0,2,0,24,0,0,3,1,4,13.0,2.0,-0.1569,78.2,0,75,3,2,-0.132,0.5862
341705,40078,2044,25,0,100,1,2,12,42,0,10,10,46,0,4,4,4,11,11,0,1,19,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,19,0,0,0,0,0,3.0,1.0,0.0,41.1,0,37,0,0,0.0,0.0
341703,40078,2044,25,0,100,1,3,12,48,0,12,11,53,0,5,3,3,13,12,0,2,22,0,0,0,0,9,1,0,0,0,2,0,0,1,1,0,0,2,0,0,0,22,0,0,0,0,0,10.0,1.0,0.0,37.1,0,38,0,0,0.0,0.0
341839,40081,2044,19,0,100,1,1,2,7,0,1,2,8,0,1,1,1,1,3,24,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,-0.0021,1.5,0,6,0,0,0.0434,0.008
341841,40081,2044,19,0,100,1,2,0,2,0,1,0,2,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.4,0,1,0,0,0.0,0.0
341840,40081,2044,19,0,100,1,3,1,5,0,0,2,6,0,1,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.1,0,5,0,0,0.0,0.0
342077,40085,2044,26,0,100,1,1,5,22,0,4,9,23,2,1,0,0,4,4,94,2,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.3092,22.6,0,17,0,0,0.385,0.4531
342078,40085,2044,26,0,100,1,2,3,14,0,4,6,15,2,1,0,0,3,1,0,1,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,15.1,0,10,0,0,0.0,0.0
342079,40085,2044,26,0,100,1,3,2,8,0,0,3,8,0,0,0,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,7.5,0,7,0,0,0.0,0.0
343069,40234,2044,35,0,100,1,1,74,284,0,69,51,320,17,29,40,40,81,83,1229,2,40,7,2,5,2,44,15,1,1,0,10,1,0,4,1,5,6,7,2,3,1,33,0,0,2,2,3,18.0,3.0,-0.3218,306.3999,0,224,6,5,0.2349,0.5788
343071,40234,2044,35,0,100,1,2,12,48,0,11,7,52,5,4,5,5,13,17,0,2,26,4,0,0,0,8,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,3.0,0.0,0.0,43.9,0,38,0,0,0.0,0.0
343070,40234,2044,35,0,100,1,3,62,236,0,58,44,268,12,25,35,35,68,66,0,0,40,7,0,0,0,36,13,1,1,0,9,1,0,4,1,5,0,6,0,0,0,33,0,0,0,0,0,15.0,3.0,0.0,262.5,0,186,0,0,0.0,0.0
343088,40237,2044,34,0,100,1,1,66,247,0,56,68,273,0,21,28,27,47,78,1060,1,36,3,5,1,0,31,15,1,3,0,10,0,0,0,3,1,9,1,0,1,1,33,0,0,2,3,2,27.0,9.0,0.1991,203.1001,0,199,4,2,0.3076,0.7742
343090,40237,2044,34,0,100,1,2,30,110,0,24,25,118,0,6,11,10,28,33,0,1,31,3,0,0,0,16,6,1,0,0,2,0,0,0,1,1,0,1,0,0,0,28,0,0,0,0,0,9.0,2.0,0.0,106.3,0,91,0,0,0.0,0.0
343089,40237,2044,34,0,100,1,3,36,137,0,32,43,155,0,15,17,17,19,45,0,0,34,3,0,0,0,15,9,0,3,0,8,0,0,0,2,0,0,0,0,0,0,31,0,0,0,0,0,18.0,7.0,0.0,96.8,0,108,0,0,0.0,0.0
343321,40290,2044,34,0,100,1,1,185,753,0,217,208,819,90,53,122,106,139,183,3016,1,32,32,10,10,0,137,46,0,6,3,31,1,0,0,3,7,0,17,16,0,0,0,0,0,17,4,0,0.0,0.0,-2.5719,904.0004,0,556,0,0,2.3238,-0.8596
343323,40290,2044,34,0,100,1,2,31,111,0,18,45,124,34,12,7,6,15,31,0,0,28,28,0,0,0,12,3,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,140.5,0,93,0,0,0.0,0.0
343322,40290,2044,34,0,100,1,3,154,642,0,199,163,695,56,41,115,100,124,152,0,1,32,32,0,0,0,125,43,0,6,3,28,1,0,0,3,6,0,16,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,763.5003,0,463,0,0,0.0,0.0
344287,40495,2044,11,0,100,1,1,5,25,0,8,8,28,0,3,5,5,4,4,119,2,5,0,0,1,0,4,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,1.0,0.0,-0.2869,13.7,0,17,0,1,-0.3731,-0.1437
344289,40495,2044,11,0,100,1,2,1,5,0,0,3,6,0,1,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,3.7,0,5,0,0,0.0,0.0
344288,40495,2044,11,0,100,1,3,4,20,0,8,5,22,0,2,5,5,3,3,0,0,5,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1.0,0.0,0.0,10.0,0,12,0,0,0.0,0.0
344525,40543,2044,2,0,100,1,1,63,241,0,68,43,289,42,41,49,46,60,74,1100,0,20,15,2,3,1,38,13,1,4,2,15,0,0,0,0,2,1,8,0,1,0,5,0,0,17,4,0,6.0,2.0,-1.7505,297.7999,0,189,1,1,-0.9325,-0.5739
344526,40543,2044,2,0,100,1,2,27,103,0,33,12,120,24,12,29,28,33,29,0,2,16,15,0,0,0,15,7,1,4,1,10,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,123.6,0,83,0,0,0.0,0.0
344527,40543,2044,2,0,100,1,3,35,138,0,35,31,169,18,29,20,18,27,45,0,1,20,15,0,0,0,23,6,0,0,1,5,0,0,0,0,2,0,3,0,0,0,5,0,0,0,0,0,6.0,2.0,0.0,174.2,0,106,0,0,0.0,0.0
344745,40584,2044,32,0,100,1,1,187,725,0,185,184,817,79,80,94,93,177,178,3061,2,35,35,7,12,0,117,42,1,4,4,22,1,0,1,9,7,0,14,13,0,0,0,0,0,20,5,0,0.0,0.0,-0.9803,837.5,0,563,0,0,2.8006,2.9472
344747,40584,2044,32,0,100,1,2,77,308,0,83,75,341,25,30,38,37,83,65,0,1,35,35,0,0,0,53,18,0,1,2,10,1,0,0,4,2,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,357.7999,0,232,0,0,0.0,0.0
344746,40584,2044,32,0,100,1,3,110,417,0,102,109,476,54,50,56,56,94,113,0,1,35,35,0,0,0,64,24,1,3,2,12,0,0,1,5,5,0,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,479.6999,0,331,0,0,0.0,0.0
344767,40587,2044,32,0,100,1,1,143,547,0,133,135,608,91,49,70,68,127,156,2256,0,24,24,7,10,0,86,30,4,5,2,15,1,0,3,1,3,0,4,11,0,0,0,0,0,20,3,0,0.0,0.0,-0.9229,542.1002,0,429,0,0,2.8949,2.4115
344768,40587,2044,32,0,100,1,2,56,217,0,53,48,238,35,17,28,27,48,68,0,0,24,24,0,0,0,35,10,1,2,0,8,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,215.1,0,168,0,0,0.0,0.0
344769,40587,2044,32,0,100,1,3,87,330,0,80,87,370,56,32,42,41,79,88,0,0,24,24,0,0,0,51,20,3,3,2,7,0,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,326.9999,0,261,0,0,0.0,0.0
344847,40597,2044,17,0,100,1,1,110,408,0,87,122,482,67,67,67,59,94,101,1829,0,22,22,8,8,0,52,16,2,1,2,17,0,0,0,4,4,0,6,9,0,0,0,0,0,16,6,0,0.0,0.0,-1.9138,472.9999,0,330,0,0,1.0693,1.006
344849,40597,2044,17,0,100,1,2,54,197,0,39,68,224,22,25,30,27,37,52,0,0,22,22,0,0,0,23,7,1,0,1,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,221.6999,0,162,0,0,0.0,0.0
344848,40597,2044,17,0,100,1,3,56,211,0,48,54,258,45,42,37,32,57,49,0,0,22,22,0,0,0,29,9,1,1,1,9,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,251.2999,0,168,0,0,0.0,0.0
344945,40613,2044,11,0,100,1,1,13,51,0,13,18,54,2,3,3,3,8,12,222,1,17,1,1,0,2,9,3,0,0,0,1,0,0,0,0,0,7,2,0,2,0,16,0,0,0,0,1,6.0,2.0,0.3534,58.7,0,40,4,2,0.441,0.5077
344948,40613,2044,26,0,100,1,1,42,146,0,26,49,158,0,10,11,11,26,43,625,0,46,2,1,1,2,14,5,0,0,2,5,0,0,0,2,2,12,4,0,3,1,44,0,0,1,2,9,21.0,4.0,0.89,157.6,0,126,13,4,0.788,1.3819
344947,40613,2044,11,0,100,1,2,5,20,0,5,8,22,2,2,3,3,1,6,0,0,15,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2.0,0.0,0.0,23.4,0,15,0,0,0.0,0.0
344950,40613,2044,26,0,100,1,2,16,56,0,10,19,61,0,4,5,5,14,13,0,0,34,2,0,0,0,5,4,0,0,0,1,0,0,0,2,1,0,2,0,0,0,32,0,0,0,0,0,13.0,2.0,0.0,67.9,0,48,0,0,0.0,0.0
344946,40613,2044,11,0,100,1,3,8,31,0,8,10,32,0,1,0,0,7,6,0,1,15,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,4.0,2.0,0.0,35.3,0,25,0,0,0.0,0.0
