id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
363126,33574,2044,30,0,100,1,3,0,23,3,5,26,0,8,6,0,1,0,3,0,0,0,3,0,0,0,0,0,0,0.0,0,0.0,0.0
363394,33589,2044,1631,0,100,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
364516,33624,2044,1631,0,100,1,1,0,663,181,116,727,2521,154,153,55,7,7,91,69,27,8,56,0,5,1,4,3,0,1.307,0,1.8773,1.4568
364518,33624,2044,1631,0,100,1,2,0,183,51,29,199,0,80,46,18,3,1,25,11,0,0,13,0,0,0,1,2,0,0.0,0,0.0,0.0
364520,33624,2044,1631,0,100,1,3,0,480,130,87,528,0,146,107,37,4,6,66,58,0,0,43,0,5,1,3,1,0,0.0,0,0.0,0.0
364665,33632,2044,11,0,100,1,1,0,231,66,49,258,936,60,60,12,1,19,35,47,0,0,23,0,7,0,0,4,0,2.5586,0,-1.2264,1.7189
364672,33632,2044,21,0,100,1,1,0,361,97,84,413,1630,93,93,15,1,20,57,59,2,2,40,2,8,0,2,10,0,1.6097,1,2.5604,2.7358
364670,33632,2044,11,0,100,1,2,0,69,18,12,75,0,32,20,1,1,6,8,7,0,0,5,0,4,0,0,1,0,0.0,0,0.0,0.0
364676,33632,2044,21,0,100,1,2,0,112,33,20,127,0,54,30,4,0,7,20,21,0,0,11,2,2,0,1,3,0,0.0,1,0.0,0.0
364668,33632,2044,11,0,100,1,3,0,162,48,37,183,0,57,40,11,0,13,27,40,0,0,18,0,3,0,0,3,0,0.0,0,0.0,0.0
364674,33632,2044,21,0,100,1,3,0,249,64,64,286,0,87,63,11,1,13,37,38,0,0,29,0,6,0,1,7,0,0.0,1,0.0,0.0
365672,33666,2044,34,0,100,1,1,0,281,69,91,323,1273,100,73,15,4,4,36,25,25,10,36,0,5,0,0,6,0,0.1479,0,-1.2305,0.7513
365678,33666,2044,34,0,100,1,2,0,97,19,41,108,0,55,24,3,0,3,13,11,0,0,8,0,4,0,0,3,0,0.0,0,0.0,0.0
365675,33666,2044,34,0,100,1,3,0,184,50,50,215,0,78,49,12,4,1,23,14,0,0,28,0,1,0,0,3,0,0.0,0,0.0,0.0
366224,33692,2044,3,0,100,1,1,0,347,93,78,389,1574,115,90,26,2,13,51,50,3,5,35,2,8,0,0,7,0,0.3493,0,-2.5753,1.1983
366226,33692,2044,3,0,100,1,2,0,172,52,28,197,0,85,52,15,2,9,31,31,0,0,22,2,3,0,0,3,0,0.0,0,0.0,0.0
