id,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
349143,51338,2057,59,0,144,1,3,57,217,0,51,52,239,0,18,24,22,47,65,0,0,55,0,0,0,0,31,9,0,2,2,9,1,0,0,2,2,0,2,0,0,0,55,0,0,0,0,0,32.0,11.0,0.0,222.9,0,171,0,0,0.0,0.0
349874,51355,2057,36,0,144,1,1,182,686,0,179,148,777,104,68,99,94,158,209,2916,0,35,30,12,14,0,127,31,3,8,1,20,1,0,0,5,12,2,18,16,1,1,5,0,0,31,6,0,6.0,1.0,-0.9492,731.6002,0,546,1,1,1.7259,1.1277
349877,51355,2057,36,0,144,1,2,58,228,0,66,48,257,11,21,42,40,47,71,0,1,35,30,0,0,0,42,12,0,4,0,12,1,0,0,4,4,0,5,0,0,0,5,0,0,0,0,0,3.0,1.0,0.0,260.7,0,175,0,0,0.0,0.0
349875,51355,2057,36,0,144,1,3,123,458,0,113,100,520,93,47,57,54,111,138,0,2,34,30,0,0,0,85,19,3,4,1,8,0,0,0,1,8,0,13,0,0,0,4,0,0,0,0,0,3.0,0.0,0.0,470.8999,0,371,0,0,0.0,0.0
350284,51363,2057,50,0,144,1,1,96,348,0,75,101,386,41,32,35,31,69,104,1441,0,31,10,7,2,0,53,11,0,3,1,10,0,0,0,1,3,8,6,4,1,1,21,0,0,4,1,1,14.0,5.0,0.8571,355.9001,0,288,6,3,1.3408,1.8273
350294,51363,2057,50,0,144,1,2,22,90,0,26,27,96,12,3,13,10,11,27,0,1,28,10,0,0,0,19,3,0,2,0,4,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,1.0,1.0,0.0,81.5,0,67,0,0,0.0,0.0
350288,51363,2057,50,0,144,1,3,73,258,0,49,74,290,29,29,22,21,58,77,0,2,31,10,0,0,0,34,8,0,1,1,6,0,0,0,1,2,0,6,0,0,0,21,0,0,0,0,0,13.0,4.0,0.0,274.4001,0,221,0,0,0.0,0.0
350298,51363,2057,50,0,144,1,21,0,2,0,1,1,2,0,0,0,0,0,0,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0.0,0.0087,4.1,0,1,0,0,0.0,0.0
350914,51375,2057,47,0,144,1,1,69,259,0,54,76,285,0,20,32,26,59,67,1095,2,56,0,3,5,16,37,8,0,1,1,8,0,0,1,4,5,32,2,0,21,5,56,0,0,2,3,7,31.0,6.0,1.3531,432.2003,0,209,23,8,0.8589,0.4803
350920,51375,2057,47,0,144,1,2,29,107,0,23,32,116,0,8,10,9,24,28,0,1,48,0,0,0,0,15,5,0,1,1,2,0,0,1,2,0,0,1,0,0,0,48,0,0,0,0,0,15.0,3.0,0.0,187.2,0,88,0,0,0.0,0.0
350917,51375,2057,47,0,144,1,3,40,152,0,31,44,169,0,12,22,17,35,39,0,1,53,0,0,0,0,22,3,0,0,0,6,0,0,0,2,5,0,1,0,0,0,53,0,0,0,0,0,16.0,3.0,0.0,245.0,0,121,0,0,0.0,0.0
350923,51375,2057,47,0,144,1,21,4,17,0,5,4,19,0,2,3,3,3,5,85,1,3,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,3,0,0,0,0,0,2.0,0.0,0.3913,29.7,0,13,1,0,0.0,0.0
