id,player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,framing,arm,zr
214768,47387,2057,55,144,1,0,5,37,25,10,0,150,19,15,2,3,0,0,0,0,1,31,30,2,22,20,9,8,2,2,1,1,4,1,1,0,0.0,0.0,0.2544
215666,47405,2057,41,144,1,0,7,49,0,48,0,220,28,26,1,0,0,0,0,0,0,47,47,0,36,36,10,9,4,2,4,1,9,0,12,0,0.0,-0.5937,0.6153
215888,47410,2057,55,144,1,0,1,0,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405,0.0,-0.1071
215919,47411,2057,36,144,1,0,1,0,0,0,0,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27,0.0,0.0
216171,47413,2057,47,144,1,0,5,277,188,72,0,1007,115,115,17,18,0,0,0,0,0,232,221,17,185,170,49,44,30,25,16,11,24,3,2,0,0.0,0.0,1.54
216399,47420,2057,54,144,1,0,2,1086,66,1018,560,1098,126,125,2,5,0,14,92,25,0,23,22,0,28,28,5,4,7,5,1,1,1,0,0,0,-2.835,0.0,0.7157
216829,47425,2057,56,144,1,0,6,62,38,21,0,127,15,15,3,6,0,0,0,0,2,44,45,3,42,39,4,2,4,2,6,3,6,1,2,0,0.0,0.0,-0.6742
217241,47441,2057,42,144,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
217744,47454,2057,36,144,1,0,1,1,1,0,0,14,6,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.405,0.0,0.0357
219044,47464,2057,51,144,1,0,1,26,16,8,0,185,33,33,2,1,0,0,12,4,2,20,20,2,15,15,3,3,2,0,2,1,0,0,0,0,0.675,0.0,0.9668
220118,47475,2057,33,144,1,0,1,10,6,4,0,108,58,2,0,0,0,0,8,1,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,-1.08,0.0,-0.0039
223188,47527,2057,33,144,1,0,5,134,93,36,0,481,60,56,5,11,0,0,0,0,2,111,109,5,91,87,17,14,16,12,9,5,6,3,0,0,0.0,0.0,1.5785
223196,47527,2057,33,144,1,0,7,4,0,4,0,26,7,2,0,0,0,0,0,0,0,4,4,0,3,3,0,0,0,0,2,1,1,0,1,0,0.0,-0.249,0.2434
223202,47527,2057,33,144,1,0,9,1,0,1,0,7,2,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0087
223987,47551,2057,45,144,1,0,1,7,5,2,0,53,35,3,0,1,0,0,2,2,2,6,6,0,3,3,3,3,0,0,0,0,0,0,0,0,0.27,0.0,1.2932
223995,47551,2057,55,144,1,0,1,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0.0,0.0
224238,47561,2057,59,144,1,0,1,15,10,3,0,188,34,34,2,1,0,0,21,5,2,11,11,1,9,7,4,3,1,1,0,0,0,0,0,0,1.08,0.0,-0.1956
225303,47595,2057,44,144,1,0,1,9,5,2,0,73,33,6,2,0,0,0,19,1,1,5,5,2,6,5,1,0,0,0,1,0,0,0,0,0,-0.135,0.0,-2.3993
225501,47599,2057,55,144,1,0,1,2,1,1,0,45,47,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.135,0.0,-0.0123
225847,47605,2057,35,144,1,0,1,5,2,3,0,78,69,0,0,0,0,0,5,1,1,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,-1.08,0.0,0.175
225917,47608,2057,41,144,1,0,7,16,3,13,0,51,6,6,0,0,0,0,0,0,0,13,13,0,12,12,2,1,0,0,4,0,3,0,1,0,0.0,0.3733,-0.425
225920,47608,2057,41,144,1,0,8,215,10,203,0,675,80,78,2,0,0,0,0,0,0,203,206,0,128,125,45,42,30,23,25,9,21,4,52,0,0.0,0.4252,-1.987
225923,47608,2057,41,144,1,0,9,122,8,114,0,508,66,55,0,0,0,0,0,0,1,112,109,0,89,88,17,13,8,4,16,5,21,4,31,0,0.0,2.0314,2.3308
226635,47626,2057,39,144,1,0,8,243,7,236,0,818,97,93,0,0,0,0,0,0,0,236,254,0,169,168,45,36,32,18,29,10,34,4,77,0,0.0,-2.2664,-12.1644
227070,47634,2057,40,144,1,0,1,3,1,2,0,34,6,6,0,0,0,0,4,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.27,0.0,-0.3658
227363,47647,2057,31,144,1,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
227545,47647,2057,31,144,1,0,7,29,1,28,0,150,26,15,0,0,0,0,0,0,1,28,28,0,19,19,6,6,4,3,7,0,7,0,16,0,0.0,0.0172,0.3315
