id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
418292,52570,2057,43,0,144,1,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
418295,52570,2057,43,0,144,1,3,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
418646,52579,2057,57,0,144,1,1,0,338,72,93,369,1360,92,92,18,5,8,43,28,12,2,28,2,5,0,0,3,0,-1.6303,0,-0.1554,0.9818
418648,52579,2057,57,0,144,1,2,0,71,20,23,82,0,39,21,6,1,4,15,9,0,0,10,2,1,0,0,1,0,0.0,0,0.0,0.0
418647,52579,2057,57,0,144,1,3,0,267,52,70,287,0,86,71,12,4,4,28,19,0,0,18,0,4,0,0,2,0,0.0,0,0.0,0.0
418398,52584,2057,46,0,144,1,1,0,458,113,134,501,1881,128,123,21,3,20,50,64,6,2,34,0,8,0,5,4,0,-0.5252,0,1.0492,3.5762
418403,52584,2057,46,0,144,1,2,0,106,27,32,117,0,62,22,4,1,4,14,14,0,0,8,0,2,0,1,2,0,0.0,0,0.0,0.0
418412,52584,2057,46,0,144,1,3,0,352,86,102,384,0,116,101,17,2,16,36,50,0,0,26,0,6,0,4,2,0,0.0,0,0.0,0.0
418408,52584,2057,46,0,144,1,21,0,33,3,12,34,123,9,9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,-0.3793,0,-0.6394,0.0
418413,52590,2057,37,0,144,1,1,0,508,145,135,550,2021,146,146,29,2,12,62,58,5,5,31,0,5,5,2,4,0,-0.3446,0,-1.5333,4.7398
418420,52590,2057,37,0,144,1,2,0,137,47,27,146,0,76,42,10,0,4,14,22,0,0,5,0,0,2,1,1,0,0.0,0,0.0,0.0
418415,52590,2057,37,0,144,1,3,0,371,98,108,404,0,137,104,19,2,8,48,36,0,0,26,0,5,3,1,3,0,0.0,0,0.0,0.0
418611,52608,2057,49,0,144,1,1,0,265,65,71,283,1075,99,55,15,1,8,35,25,8,2,16,0,2,0,0,2,0,0.327,0,0.8309,1.0234
418706,52608,2057,49,0,144,1,2,0,39,11,15,45,0,23,11,1,0,1,7,6,0,0,6,0,0,0,0,0,0,0.0,0,0.0,0.0
418708,52608,2057,49,0,144,1,3,0,226,54,56,238,0,93,44,14,1,7,28,19,0,0,10,0,2,0,0,2,0,0.0,0,0.0,0.0
418933,52620,2057,58,0,144,1,1,0,3,0,0,3,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1135,0,0.0,-0.0122
418936,52620,2057,58,0,144,1,3,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
419285,52652,2057,54,0,144,1,1,0,6,1,1,6,19,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0581,0,0.0,-0.1112
419287,52652,2057,54,0,144,1,3,0,6,1,1,6,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0
419371,52653,2057,38,0,144,1,1,0,474,116,118,509,1858,136,130,19,2,15,54,59,4,2,30,0,13,0,2,3,0,-0.8658,0,3.2036,0.6795
419375,52653,2057,38,0,144,1,2,0,124,27,28,135,0,67,35,3,0,7,14,21,0,0,9,0,5,0,1,1,0,0.0,0,0.0,0.0
419373,52653,2057,38,0,144,1,3,0,350,89,90,374,0,124,95,16,2,8,40,38,0,0,21,0,8,0,1,2,0,0.0,0,0.0,0.0
419471,52657,2057,40,0,144,1,1,0,546,124,138,597,2152,147,146,17,3,16,55,52,20,5,37,0,6,5,4,5,0,-0.6095,0,0.7742,0.7778
419475,52657,2057,40,0,144,1,2,0,128,34,25,143,0,71,36,5,2,6,21,21,0,0,12,0,3,1,1,1,0,0.0,0,0.0,0.0
419472,52657,2057,40,0,144,1,3,0,418,90,113,454,0,136,110,12,1,10,34,31,0,0,25,0,3,4,3,4,0,0.0,0,0.0,0.0
419437,52663,2057,42,0,144,1,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0417,0,0.0,-0.0233
419436,52663,2057,42,0,144,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
419350,52669,2057,57,0,144,1,1,0,96,19,22,106,381,28,27,3,1,2,8,6,0,0,9,0,4,0,0,0,1,-0.5796,0,-1.2043,-0.0014
419361,52669,2057,34,0,144,1,1,0,59,10,15,61,222,32,14,1,0,0,6,4,0,1,2,0,2,0,0,0,0,-0.3157,1,0.3749,-0.2446
419358,52669,2057,57,0,144,1,2,0,62,12,13,71,0,26,23,1,0,2,6,4,0,0,8,0,1,0,0,0,1,0.0,0,0.0,0.0
419364,52669,2057,34,0,144,1,2,0,14,3,3,14,0,9,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0
419352,52669,2057,57,0,144,1,3,0,34,7,9,35,0,22,4,2,1,0,2,2,0,0,1,0,3,0,0,0,0,0.0,0,0.0,0.0
419367,52669,2057,34,0,144,1,3,0,45,7,12,47,0,21,12,1,0,0,5,2,0,0,2,0,2,0,0,0,0,0.0,1,0.0,0.0
419355,52669,2057,34,0,144,1,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
